experiment_id,architecture,output_space,parameters,device,epochs,best_epoch,val_exact_match,val_word_position,val_loss,training_seconds,status,notes
baseline_reproduction,encoder_decoder_transformer,vocabulary_2412_with_source_constrained_greedy,697708,cpu,20,15,0.5697469747,0.7223065640,2.2876091048,181.7047,complete,independent full-validation reproduction matched checkpoint exactly; timing is validation inference plus loss not training
pointer_assignment_v1,transformer_encoder_plus_output_queries,global_5x5_assignment_over_120_permutations,1467289,rtx_5070_cuda_12_8,11,5,0.5407774111,0.7403740374,2.2804432810,103.0346,complete,permutation-aware objective guaranteed valid outputs but overfit rapidly and did not improve validation exact match; protected test unopened
structured_char_pair_v1,set_transformer_word_plus_character_encoder_with_unary_and_pairwise_energy,global_exact_search_over_120_permutations,826634,rtx_5070_cuda_12_8,77,47,0.583058306,0.7548954895,,70.915,complete,first architecture-only improvement; canonical unordered input; global structured objective; protected test unopened
structured_word_pair_v1,set_transformer_word_encoder_with_unary_and_pairwise_energy,global_exact_search_over_120_permutations,814346,rtx_5070_cuda_12_8,80,50,0.5709570957,0.7458745875,,66.35,complete,word identity alone barely exceeds baseline; character sharing contributes 1.21 points in the combined model; protected test unopened
structured_char_only_compact_v2,compact_set_transformer_character_encoder_with_unary_and_pairwise_energy,global_exact_search_over_120_permutations,395274,rtx_5070_cuda_12_8,194,164,0.5566556656,0.7469746975,,160.76,complete,character spelling alone cannot replace exact word identity; protected test unopened
structured_word_char_compact_v2,compact_set_transformer_word_plus_character_encoder_with_unary_and_pairwise_energy,global_exact_search_over_120_permutations,401418,rtx_5070_cuda_12_8,126,96,0.5687568757,0.7430143014,,105.10,complete,stronger regularization and smaller hidden state do not solve generalization; protected test unopened
train_only_structural_priors,transparent_position_precedence_and_adjacency_statistics_from_training_targets,global_exact_search_over_120_permutations,0,cpu,0,0,0.6072607261,0.7713971397,,2.4,complete,no learned model or external data; exposes missing structural inductive bias; validation-selected combination; protected test unopened
neural_plus_structural_prior_analysis,set_transformer_word_plus_character_residual_and_train_only_structural_priors,global_exact_search_over_120_permutations,826634,rtx_5070_cuda_12_8,77,47,0.6402640264,0.7854785479,,5.6,analysis,post-hoc complementarity analysis; not yet jointly packaged; validation-selected score scales; protected test unopened
structured_word_char_adjacency_v3,set_transformer_word_plus_character_encoder_with_unary_precedence_and_directed_adjacency_energy,global_exact_search_over_120_permutations,859403,rtx_5070_cuda_12_8,100,70,0.6468646865,0.7753575358,,109.16,complete,explicit directed next-word energy produces the largest neural gain; protected test unopened
adjacency_neural_plus_structural_prior_analysis,set_transformer_with_learned_adjacency_and_train_only_position_precedence_adjacency_priors,global_exact_search_over_120_permutations,859403,rtx_5070_cuda_12_8,100,70,0.6545654565,0.7916391639,,5.5,analysis,post-hoc complementarity analysis; validation-selected normalized scales; protected test unopened
structured_adjacency_train_priors_v4,jointly_trained_adjacency_transformer_with_fixed_train_only_priors,global_exact_search_over_120_permutations,859403,rtx_5070_cuda_12_8,31,1,0.5896589659,0.7575357536,,34.49,complete,joint training overfits deviations from already-strong priors and is inferior to score-level combination; protected test unopened
candidate_sequence_flatten_v3,set_transformer_plus_ordered_candidate_transformer_higher_order_scorer,global_exact_search_over_120_permutations,569226,rtx_5070_cuda_12_8,128,98,0.6809680968,0.8081408141,,338.20,complete,whole-candidate scorer captures higher-order interactions; protected test unopened
candidate_adjacency_prior_combination,ensemble_of_two_architecture_only_transformer_scorers_plus_train_only_priors,global_exact_search_over_120_permutations,1428629,rtx_5070_cuda_12_8,128,98,0.7095709571,0.8292629263,,6.4,analysis,validation-selected normalized score combination; no pretrained models or external data; protected test unopened
candidate_sequence_seed43_v4,set_transformer_plus_ordered_candidate_transformer_higher_order_scorer,global_exact_search_over_120_permutations,569226,rtx_5070_cuda_12_8,75,74,0.6963696370,0.8171617162,,,interrupted,tail stopped after machine suspension; best checkpoint safely saved; protected test unopened
candidate_distributional_seed44_v5,candidate_sequence_transformer_with_train_only_distributional_role_features,global_exact_search_over_120_permutations,580778,rtx_5070_cuda_12_8,52,42,0.6281628163,0.7848184818,,,interrupted,distributional features accelerate memorization and underperform plain candidate scorer; stopped as negative ablation; protected test unopened
two_seed_candidate_adjacency_prior_combination,ensemble_of_three_architecture_only_transformer_scorers_plus_train_only_priors,global_exact_search_over_120_permutations,1997855,rtx_5070_cuda_12_8,128,98,0.7304730473,0.8356435644,,12.2,analysis,validation-selected normalized score combination across seed42 seed43 adjacency and fixed priors; protected test unopened
final_frozen_architecture_only_ensemble,adjacency_transformer_plus_three_complete_candidate_transformers_plus_train_only_priors,global_exact_search_over_120_permutations,2567081,rtx_5070_cuda_12_8,128,98,0.7370737074,0.8400440044,2.3750618098,,final,formal one-time protected test exact 0.6826547685 position 0.8065811489 validity 1.0 preservation 1.0; no post-test tuning
